State Name_x,District,Households_Rural,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,State Name_y,Households_Urban,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise
Jammu and Kashmir,Kupwara,158438.0,13150.354000000001,77476.182,Jammu and Kashmir,23226.0,1114.848,16304.652000000002
Jammu and Kashmir,Badgam,160649.0,6265.311,133820.617,Jammu and Kashmir,27190.0,706.94,24579.760000000002
Jammu and Kashmir,Leh(Ladakh),36920.0,775.32,32526.519999999997,Jammu and Kashmir,17474.0,192.21400000000003,16740.092
Jammu and Kashmir,Kargil,40370.0,1412.95,39078.159999999996,Jammu and Kashmir,7774.0,93.288,7579.65
Jammu and Kashmir,Punch,132139.0,3171.3360000000002,18103.042999999998,Jammu and Kashmir,15269.0,122.152,11497.557
Jammu and Kashmir,Rajouri,196070.0,5293.89,19999.14,Jammu and Kashmir,17508.0,297.636,14969.34
Jammu and Kashmir,Kathua,181374.0,6348.090000000001,25755.107999999997,Jammu and Kashmir,33473.0,1037.663,22460.382999999998
Jammu and Kashmir,Baramula,210543.0,11158.779,156433.449,Jammu and Kashmir,48932.0,2446.6,45262.1
Jammu and Kashmir,Bandipore,80521.0,5958.554000000001,56445.221,Jammu and Kashmir,17555.0,754.8649999999999,16554.364999999998
Jammu and Kashmir,Srinagar,4518.0,284.634,4007.466,Jammu and Kashmir,257721.0,5669.862000000001,252824.301
Jammu and Kashmir,Ganderbal,63788.0,6059.86,44332.659999999996,Jammu and Kashmir,13558.0,610.11,12378.454
Jammu and Kashmir,Pulwama,147520.0,6785.92,92495.04,Jammu and Kashmir,21703.0,651.09,19771.432999999997
Jammu and Kashmir,Shupiyan,75616.0,4461.344,44613.439999999995,Jammu and Kashmir,5272.0,173.976,4997.856
Jammu and Kashmir,Anantnag,207067.0,10560.417,105190.03600000001,Jammu and Kashmir,70666.0,2190.646,53352.83
Jammu and Kashmir,Kulgam,95952.0,4509.744,40011.984000000004,Jammu and Kashmir,25178.0,1057.476,14729.13
Jammu and Kashmir,Doda,122267.0,1956.272,29344.079999999998,Jammu and Kashmir,11350.0,329.15,10600.900000000001
Jammu and Kashmir,Ramban,84281.0,1769.901,15002.018000000002,Jammu and Kashmir,5341.0,128.184,4417.0070000000005
Jammu and Kashmir,Kishtwar,72378.0,2460.8520000000003,14475.6,Jammu and Kashmir,5993.0,41.95099999999999,5597.462
Jammu and Kashmir,Udhampur,148664.0,2973.28,11001.136000000002,Jammu and Kashmir,34696.0,624.528,26056.695999999996
Jammu and Kashmir,Reasi,95572.0,1433.58,8601.48,Jammu and Kashmir,12261.0,134.871,9661.668
Jammu and Kashmir,Jammu,254566.0,12473.734,62623.236000000004,Jammu and Kashmir,248043.0,8433.462000000001,210588.507
Jammu and Kashmir,Samba,94247.0,3110.1510000000003,24504.22,Jammu and Kashmir,19989.0,219.87900000000002,14132.223000000002
Himachal Pradesh,Chamba,186395.0,4287.085,90960.76,Himachal Pradesh,13836.0,96.85199999999999,12037.32
Himachal Pradesh,Kangra,588321.0,8236.493999999999,378878.724,Himachal Pradesh,39007.0,624.112,32102.761
,Lahul AND Spiti,17434.0,,,,0.0,,
Himachal Pradesh,Kullu,167995.0,2015.94,91053.29000000001,Himachal Pradesh,20709.0,269.21700000000004,18762.354
Himachal Pradesh,Mandi,431129.0,6898.064,353525.77999999997,Himachal Pradesh,31696.0,221.87199999999999,29160.32
Himachal Pradesh,Hamirpur,196116.0,1961.16,174739.35599999997,Himachal Pradesh,15232.0,91.392,14059.135999999999
Himachal Pradesh,Hamirpur,196116.0,1961.16,174739.35599999997,Uttar Pradesh,15232.0,243.71200000000002,10464.384
Himachal Pradesh,Hamirpur,196116.0,1961.16,174739.35599999997,Himachal Pradesh,55300.0,331.8,51041.899999999994
Himachal Pradesh,Hamirpur,196116.0,1961.16,174739.35599999997,Uttar Pradesh,55300.0,884.8000000000001,37991.100000000006
Uttar Pradesh,Hamirpur,196116.0,2941.74,49029.0,Himachal Pradesh,15232.0,91.392,14059.135999999999
Uttar Pradesh,Hamirpur,196116.0,2941.74,49029.0,Uttar Pradesh,15232.0,243.71200000000002,10464.384
Uttar Pradesh,Hamirpur,196116.0,2941.74,49029.0,Himachal Pradesh,55300.0,331.8,51041.899999999994
Uttar Pradesh,Hamirpur,196116.0,2941.74,49029.0,Uttar Pradesh,55300.0,884.8000000000001,37991.100000000006
Himachal Pradesh,Hamirpur,256081.0,2560.81,228168.17099999997,Himachal Pradesh,15232.0,91.392,14059.135999999999
Himachal Pradesh,Hamirpur,256081.0,2560.81,228168.17099999997,Uttar Pradesh,15232.0,243.71200000000002,10464.384
Himachal Pradesh,Hamirpur,256081.0,2560.81,228168.17099999997,Himachal Pradesh,55300.0,331.8,51041.899999999994
Himachal Pradesh,Hamirpur,256081.0,2560.81,228168.17099999997,Uttar Pradesh,55300.0,884.8000000000001,37991.100000000006
Uttar Pradesh,Hamirpur,256081.0,3841.2149999999997,64020.25,Himachal Pradesh,15232.0,91.392,14059.135999999999
Uttar Pradesh,Hamirpur,256081.0,3841.2149999999997,64020.25,Uttar Pradesh,15232.0,243.71200000000002,10464.384
Uttar Pradesh,Hamirpur,256081.0,3841.2149999999997,64020.25,Himachal Pradesh,55300.0,331.8,51041.899999999994
Uttar Pradesh,Hamirpur,256081.0,3841.2149999999997,64020.25,Uttar Pradesh,55300.0,884.8000000000001,37991.100000000006
Himachal Pradesh,Una,185091.0,2591.274,108833.50799999999,Himachal Pradesh,20126.0,966.048,15013.996
Himachal Pradesh,Bilaspur,152458.0,1981.9540000000002,104891.10399999999,Himachal Pradesh,11987.0,95.896,11207.845000000001
Himachal Pradesh,Bilaspur,152458.0,1981.9540000000002,104891.10399999999,Chhattisgarh,11987.0,371.597,7875.459000000001
Himachal Pradesh,Bilaspur,152458.0,1981.9540000000002,104891.10399999999,Himachal Pradesh,188174.0,1505.392,175942.69
Himachal Pradesh,Bilaspur,152458.0,1981.9540000000002,104891.10399999999,Chhattisgarh,188174.0,5833.394,123630.318
Chhattisgarh,Bilaspur,152458.0,7927.816000000001,25308.028000000002,Himachal Pradesh,11987.0,95.896,11207.845000000001
Chhattisgarh,Bilaspur,152458.0,7927.816000000001,25308.028000000002,Chhattisgarh,11987.0,371.597,7875.459000000001
Chhattisgarh,Bilaspur,152458.0,7927.816000000001,25308.028000000002,Himachal Pradesh,188174.0,1505.392,175942.69
Chhattisgarh,Bilaspur,152458.0,7927.816000000001,25308.028000000002,Chhattisgarh,188174.0,5833.394,123630.318
Himachal Pradesh,Bilaspur,549632.0,7145.216,378146.816,Himachal Pradesh,11987.0,95.896,11207.845000000001
Himachal Pradesh,Bilaspur,549632.0,7145.216,378146.816,Chhattisgarh,11987.0,371.597,7875.459000000001
Himachal Pradesh,Bilaspur,549632.0,7145.216,378146.816,Himachal Pradesh,188174.0,1505.392,175942.69
Himachal Pradesh,Bilaspur,549632.0,7145.216,378146.816,Chhattisgarh,188174.0,5833.394,123630.318
Chhattisgarh,Bilaspur,549632.0,28580.864,91238.91200000001,Himachal Pradesh,11987.0,95.896,11207.845000000001
Chhattisgarh,Bilaspur,549632.0,28580.864,91238.91200000001,Chhattisgarh,11987.0,371.597,7875.459000000001
Chhattisgarh,Bilaspur,549632.0,28580.864,91238.91200000001,Himachal Pradesh,188174.0,1505.392,175942.69
Chhattisgarh,Bilaspur,549632.0,28580.864,91238.91200000001,Chhattisgarh,188174.0,5833.394,123630.318
Himachal Pradesh,Solan,192787.0,3662.953,133023.03,Himachal Pradesh,51509.0,721.126,46255.082
Himachal Pradesh,Sirmaur,171102.0,4790.856,97357.03799999999,Himachal Pradesh,21054.0,210.54,20232.894
Himachal Pradesh,Shimla,279269.0,6423.187,167002.862,Himachal Pradesh,95896.0,1246.6480000000001,86977.672
Himachal Pradesh,Kinnaur,44514.0,445.14,30803.688000000002,,0.0,,
Punjab,Gurdaspur,420860.0,37877.4,210850.86,Punjab,185488.0,9645.376,158777.728
Punjab,Kapurthala,165433.0,10091.413,128045.142,Punjab,95770.0,3926.5699999999997,90119.56999999999
Punjab,Jalandhar,330339.0,20481.018,251057.64,Punjab,377791.0,18133.968,361923.778
Punjab,Hoshiarpur,422673.0,27473.745000000003,240923.61,Punjab,128592.0,6301.008,114318.288
Punjab,Shahid Bhagat Singh Nagar,183168.0,9891.072000000002,122356.22399999999,Punjab,48383.0,3144.895,41173.933
Punjab,Fatehgarh Sahib,117559.0,7523.776,96986.17499999999,Punjab,57337.0,2580.165,53839.44300000001
Punjab,Ludhiana,395032.0,28047.271999999997,345653.0,Punjab,641789.0,31447.661,621893.5410000001
Punjab,Moga,214295.0,15857.830000000002,183007.93000000002,Punjab,74144.0,4967.648,70214.368
Punjab,Firozpur,348522.0,37640.376000000004,232115.65199999997,Punjab,153868.0,10924.627999999999,139558.276
Punjab,Muktsar,149507.0,15997.249,108093.561,Punjab,74650.0,6793.15,67035.7
Punjab,Faridkot,99946.0,7695.842,80056.746,Punjab,58917.0,4772.277,54674.975999999995
Punjab,Bathinda,218159.0,16143.766000000001,183908.03699999998,Punjab,137563.0,7428.402000000001,128071.15299999999
Punjab,Mansa,145603.0,10483.416000000001,91584.287,Punjab,50786.0,2996.3740000000003,43168.1
Punjab,Patiala,299279.0,21248.808999999997,231342.66700000002,Punjab,218090.0,9159.78,211329.21000000002
Punjab,Amritsar,275477.0,21487.206,167490.016,Punjab,385476.0,20815.704,360034.58400000003
Punjab,Tarn Taran,222717.0,18040.077,144320.616,Punjab,44457.0,3156.4469999999997,38988.789
Punjab,Rupnagar,148162.0,8889.72,84304.178,Punjab,60537.0,3026.8500000000004,55512.429000000004
Punjab,Sahibzada Ajit Singh Nagar,117293.0,8562.389,71196.851,Punjab,174042.0,6613.596,160814.80800000002
Punjab,Sangrur,292156.0,17821.516,229634.61599999998,Punjab,156788.0,7369.036,144244.96
Punjab,Barnala,102577.0,6667.505,82266.754,Punjab,54222.0,3199.0980000000004,48908.244
Chandigarh,Chandigarh,8911.0,249.50799999999998,7841.68,Chandigarh,289456.0,10130.960000000001,253563.45599999998
Uttarakhand,Uttarkashi,112148.0,3364.44,44298.46,Uttarakhand,9061.0,72.488,8290.815
Uttarakhand,Chamoli,163434.0,4085.8500000000004,76813.98,Uttarakhand,22906.0,206.15400000000002,20042.75
Uttarakhand,Rudraprayag,112705.0,2141.395,57479.55,Uttarakhand,4454.0,13.362,4079.8639999999996
Uttarakhand,Tehri Garhwal,227059.0,6357.651999999999,113756.559,Uttarakhand,27177.0,190.23899999999998,26062.743000000002
Uttarakhand,Dehradun,228245.0,8901.555,170270.77,Uttarakhand,269393.0,6465.432,256462.13600000003
Uttarakhand,Garhwal,279682.0,5034.276000000001,135086.406,Uttarakhand,36780.0,404.58000000000004,34830.66
Uttarakhand,Pithoragarh,183687.0,4224.8009999999995,88169.76,Uttarakhand,26256.0,131.28,25337.04
Uttarakhand,Bageshwar,96031.0,2784.899,51376.58500000001,Uttarakhand,3880.0,34.92,3492.0
Uttarakhand,Almora,260056.0,4420.952,134188.896,Uttarakhand,21082.0,274.06600000000003,19374.358
Uttarakhand,Champawat,85202.0,5112.12,34421.608,Uttarakhand,12839.0,757.5010000000001,10258.361
Uttarakhand,Nainital,193086.0,9847.385999999999,134001.684,Uttarakhand,105577.0,3167.31,100086.996
Uttarakhand,Udham Singh Nagar,269406.0,18050.202,153292.014,Uttarakhand,145253.0,5810.12,133632.76
Uttarakhand,Hardwar,301828.0,15996.884,151517.656,Uttarakhand,186183.0,4096.026000000001,172405.45799999998
Haryana,Panchkula,70895.0,3473.855,31193.8,Haryana,93656.0,4401.832,82042.65599999999
Haryana,Ambala,175365.0,7540.695,89611.515,Haryana,139891.0,4616.403,124922.663
Haryana,Yamunanagar,214464.0,13725.696,98653.44,Haryana,143259.0,5730.36,131655.021
Haryana,Kurukshetra,203553.0,8752.778999999999,140655.123,Haryana,88268.0,3089.38,81559.632
Haryana,Kaithal,231091.0,11092.368,133339.507,Haryana,75696.0,3103.5359999999996,62600.592000000004
Haryana,Karnal,292682.0,14341.418,200779.85199999998,Haryana,135920.0,3533.9200000000005,124502.71999999999
Haryana,Panipat,173502.0,7287.084000000001,115725.834,Haryana,153804.0,4460.316,145959.996
Haryana,Sonipat,283858.0,13341.326000000001,159528.19600000003,Haryana,133576.0,4541.584000000001,123157.072
Haryana,Jind,278335.0,13916.75,142785.855,Haryana,89665.0,2510.62,78546.54
Haryana,Fatehabad,203020.0,11572.140000000001,148001.58000000002,Haryana,55360.0,2712.6400000000003,50322.240000000005
Haryana,Sirsa,245476.0,14483.084,214791.5,Haryana,93316.0,3825.9559999999997,89490.04400000001
Haryana,Hisar,302013.0,16610.715,188758.125,Haryana,154113.0,5085.729,137931.135
Haryana,Bhiwani,357047.0,18923.490999999998,175667.124,Haryana,99235.0,4366.34,86135.98
Haryana,Rohtak,175203.0,8234.541,102318.552,Haryana,131739.0,3556.9530000000004,121331.61899999999
Haryana,Jhajjar,211816.0,10378.984,123912.35999999999,Haryana,78328.0,3524.7599999999998,71826.776
Haryana,Mahendragarh,223726.0,6935.506,87253.14,Haryana,44216.0,1238.0479999999998,34134.752
Haryana,Rewari,199449.0,6581.817,99325.602,Haryana,69305.0,1663.32,60849.79
Haryana,Gurgaon,141703.0,4534.496,92957.16799999999,Haryana,381988.0,14897.532,350282.99600000004
Haryana,Mewat,187398.0,16865.82,33356.844000000005,Haryana,36237.0,1739.376,22648.125
Haryana,Faridabad,87700.0,3771.1,51392.2,Haryana,382981.0,9191.544,341619.052
Haryana,Palwal,186069.0,11722.347,59728.149000000005,Haryana,63090.0,2271.2400000000002,52238.52
Nct Of Delhi,North West,67592.0,3041.64,43326.471999999994,Nct Of Delhi,959275.0,31656.075,824017.2250000001
Nct Of Delhi,North,4512.0,40.608000000000004,4421.76,Nct Of Delhi,296559.0,10379.565,266606.541
Nct Of Delhi,North East,5326.0,149.128,5059.7,Nct Of Delhi,482255.0,9645.1,458624.505
Nct Of Delhi,East,1086.0,13.032,1065.366,Nct Of Delhi,461132.0,8761.508,430697.288
,New Delhi,0.0,,,Nct Of Delhi,52664.0,1948.5680000000002,41025.256
,Central,0.0,,,Nct Of Delhi,194897.0,6236.704,176966.476
Nct Of Delhi,West,1809.0,32.562000000000005,1575.639,Nct Of Delhi,699703.0,19591.683999999997,629032.997
Nct Of Delhi,South West,41179.0,1358.9070000000002,36113.983,Nct Of Delhi,606503.0,15769.078000000001,553130.736
